property_name,price,house_type,area_in_sq_ft,no_of_bedrooms,no_of_bathrooms,no_of_receptions,city,postal_code,location,nearest_station,postcode_latitude,postcode_longitude,station_latitude,station_longitude,price_per_sqft,distance_miles
Hasker Street,315000,House,1449,3,3,3,London,SW3 2LE,Chelsea,South Kensington,51.4928,-0.1611,51.494,-0.173044,217.3913043478261,0.52
Fairfax Mews,139500,House,1902,5,5,5,London,SW15 6FF,Putney,Putney Bridge,51.4856,-0.247091,51.4683,-0.208795,73.34384858044164,2.04
Fairacres,138500,Flat / Apartment,2056,3,3,3,London,SW15 5LX,Putney,Putney Bridge,51.4847,-0.247997,51.4683,-0.208795,67.36381322957199,2.03
Clapham Common South Side,80000,Flat / Apartment,922,2,2,2,London,SW4 9DX,Clapham,Clapham Common,51.4613,-0.1345,51.4621,-0.137359,86.76789587852494,0.13
Ormond Yard,369500,House,2316,4,4,4,London,SW1Y 6JT,St Jamess,Piccadilly Circus,51.5085,-0.1396,51.5098,-0.134429,159.54231433506044,0.24
Cadogan Square,220000,Flat / Apartment,1195,2,2,2,London,SW1X 0JL,Knightsbridge,Victoria,51.5217,-0.135905,51.4952,-0.1445,184.10041841004184,1.87
Cadogan Square,117500,Flat / Apartment,687,2,2,2,London,SW1X 0JL,Knightsbridge,Victoria,51.5217,-0.135905,51.4952,-0.1445,171.0334788937409,1.87
Oakwood Court,310000,Flat / Apartment,2470,4,4,4,London,W14 8JS,West Kensington,West Kensington,51.4958,-0.2228,51.4907,-0.205944,125.50607287449392,0.81
Fieldsway House,92500,Flat / Apartment,1012,3,3,3,London,N5 1QA,Highbury,Canonbury,51.5494,-0.10532,51.5438,-0.090632,91.40316205533597,0.74
Long & Waterson Apartments,55000,Penthouse,414,1,1,1,London,E2 8HN,Bethnal Green,Bethnal Green,51.5264,-0.0554,51.5303,-0.056163,132.8502415458937,0.27
Mare Street,26000,Studio,381,0,0,0,London,E8 3RH,Hackney,Hackney Downs,51.5393,-0.05667,51.5486,-0.060686,68.24146981627297,0.67
Reliance Wharf,55000,Flat / Apartment,547,1,1,1,London,N1 5ET,Islington,Angel,51.5372,-0.07927,51.5325,-0.106036,100.54844606946983,1.2
Gayton Road,240000,House,2202,5,5,5,London,NW3 1TU,Hampstead,Hampstead,51.5564,-0.17554,51.5565,-0.178301,108.99182561307902,0.12
Ram Quarter,58000,New development,460,1,1,1,London,SW18 1TH,Wandsworth,Wandsworth Town,51.5037,-0.229424,51.461,-0.188251,126.08695652173913,3.44
Grimston Road,230000,House,2785,5,5,5,London,SW6 3QR,Fulham,Imperial Wharf,51.474,-0.2107,51.4751,-0.182927,82.58527827648115,1.2
Balham Grove,120000,House,1270,3,3,3,London,SW12 8BE,Balham,Balham,51.4483,-0.1529,51.4452,-0.1517,94.48818897637796,0.22
Fernside Road,150000,House,1934,5,5,5,London,SW12 8LH,Balham,Balham,51.4459,-0.15951,51.4452,-0.1517,77.55946225439503,0.34
Walsingham Place,225000,House,2605,5,5,5,London,SW4 9RR,Clapham,Clapham Common,51.4617,-0.1393,51.4621,-0.137359,86.37236084452975,0.09
Englewood Road,150000,House,2047,4,4,4,London,SW12 9NZ,Balham,Balham,51.4448,-0.15602,51.4452,-0.1517,73.27796775769419,0.19
Streathbourne Road,215000,House,2850,5,5,5,London,SW17 8RA,Tooting,Tooting,51.4969,-0.236068,51.4278,-0.167967,75.43859649122807,5.6
Rowfant Road,159500,House,2555,6,6,6,London,SW17 7AP,Tooting,Tooting,51.4918,-0.241051,51.4278,-0.167967,62.426614481409004,5.43
Tantallon Road,156500,House,2088,5,5,5,London,SW12 8DH,Balham,Balham,51.445,-0.15874,51.4452,-0.1517,74.9521072796935,0.3
Honeybrook Road,150000,House,2173,5,5,5,London,SW12 0DL,Balham,Balham,51.4488,-0.14258,51.4452,-0.1517,69.02899217671423,0.46
Fenn Mansions,40000,Flat / Apartment,774,2,2,2,London,SE18 6GY,Woolwich,Woolwich Arsenal,51.489,0.0656,51.4896,0.070378,51.679586563307495,0.21
New Providence Wharf,41500,Flat / Apartment,525,1,1,1,London,E14 9PW,Canary Wharf,Canary Wharf,51.5064,-0.00435,51.5049,-0.019001,79.04761904761905,0.64
Enclave Court,139500,Penthouse,1230,2,2,2,London,EC1V 0BH,Clerkenwell,Old Street,51.5246,-0.10016,51.5256,-0.087609,113.41463414634147,0.54
Fairfax Road,280000,House,2734,6,6,6,London,W4 1EN,Chiswick,Chiswick Park,51.4946,-0.2854,51.4946,-0.267874,102.41404535479151,0.75
Redcliffe Gardens,119500,Flat / Apartment,872,2,2,2,London,SW10 9HA,Chelsea,West Brompton,51.4854,-0.18599,51.487,-0.195185,137.04128440366972,0.41
Drayton Court,275000,Flat / Apartment,1839,4,4,4,London,SW10 9RH,Chelsea,West Brompton,51.4882,-0.18061,51.487,-0.195185,149.53779227841218,0.63
Albert Bridge Road,275000,House,2675,4,4,4,London,SW11 4PX,Battersea,Clapham Junction,51.4737,-0.163,51.4645,-0.170518,102.80373831775701,0.71
Ridgway,52500,Flat / Apartment,514,2,2,2,London,SW19 4SX,Wimbledon,Wimbledon,51.4231,-0.199876,51.4215,-0.206403,102.14007782101167,0.3
Devonshire Mews South,375000,House,3256,3,3,3,London,W1G 6QW,Marylebone,Oxford Circus,51.5173,-0.1442,51.5153,-0.142008,115.17199017199017,0.17
Ovington Gardens,175000,Flat / Apartment,714,2,2,2,London,SW3 1LS,Chelsea,South Kensington,51.4981,-0.1602,51.494,-0.173044,245.09803921568627,0.62
Cubitt Building,75000,Flat / Apartment,604,1,1,1,London,SW1W 8QL,Belgravia,Victoria,51.5057,-0.145586,51.4952,-0.1445,124.17218543046357,0.73
Iverna Court,315000,Flat / Apartment,1755,4,4,4,London,W8 6TS,Kensington,High Street Kensington,51.4972,-0.1985,51.5003,-0.19211,179.48717948717947,0.35
Waleorde Road,57500,Flat / Apartment,800,2,2,2,London,SE17 1GG,Walworth,Kennington,51.4887,-0.09541,51.4883,-0.105883,71.875,0.45
Louisville Road,125000,House,2475,6,6,6,London,SW17 8RU,Tooting,Tooting,51.4977,-0.235313,51.4278,-0.167967,50.505050505050505,5.63
Langroyd Road,115000,House,1703,4,4,4,London,SW17 7PL,Tooting,Tooting,51.4936,-0.239239,51.4278,-0.167967,67.52789195537287,5.48
Dance Square,65000,Flat / Apartment,584,1,1,1,London,EC1V 3AN,Islington,Old Street,51.5261,-0.0976,51.5256,-0.087609,111.3013698630137,0.43
Cranbrook Road,129500,House,1356,4,4,4,London,W4 2LH,Chiswick,Chiswick Park,51.4919,-0.2666,51.4946,-0.267874,95.50147492625369,0.19
Buer Road,76500,Flat / Apartment,1362,3,3,3,London,SW6 4LA,Fulham,Imperial Wharf,51.4665,-0.2024,51.4751,-0.182927,56.16740088105727,1.03
Lillian Road,110000,House,1420,3,3,3,London,SW13 9JF,Barnes,Barnes Bridge,51.4859,-0.227059,51.472,-0.252633,77.46478873239437,1.46
Ranelagh Avenue,235000,House,2153,4,4,4,London,SW13 0BL,Barnes,Barnes Bridge,51.4792,-0.246101,51.472,-0.252633,109.15002322340919,0.57
Hillbrook Road,96500,House,1222,4,4,4,London,SW17  8SF,Tooting,Tooting,51.4905,-0.242259,51.4278,-0.167967,78.96890343698854,5.38
Weller Court,175000,Flat / Apartment,732,1,1,1,London,W11 3NT,Notting Hill,Ladbroke Grove,51.5186,-0.1989,51.5173,-0.211102,239.07103825136613,0.53
Stuart Tower,47500,Flat / Apartment,525,1,1,1,London,W9 1UJ,Maida Vale,Maida Vale,51.528,-0.1919,51.5276,-0.190592,90.47619047619048,0.06
Clapham Common West Side,299500,House,3406,5,5,5,London,SW4 9AU,Clapham,Clapham Common,51.4607,-0.134,51.4621,-0.137359,87.93305930710511,0.17
Parkfield Avenue,182500,House,2500,5,5,5,London,SW14 8DY,Mortlake,Mortlake,51.4719,-0.260379,51.4699,-0.268523,73.0,0.38
Sutherland House,55000,Flat / Apartment,609,2,2,2,London,SW8 3RJ,Kensington,Vauxhall,51.4716,-0.1324,51.4875,-0.12293,90.311986863711,1.17
Hambalt Road,185000,House,2516,5,5,5,London,SW4 9EL,Clapham,Clapham Common,51.4601,-0.1353,51.4621,-0.137359,73.52941176470588,0.16
Ormond House,62500,Flat / Apartment,428,1,1,1,London,SW1P 2TB,Westminster,Victoria,51.4944,-0.132131,51.4952,-0.1445,146.02803738317758,0.53
Buckingham Gate,229000,Flat / Apartment,1604,2,2,2,London,SW1E 6LB,St Jamess,Victoria,51.4994,-0.137801,51.4952,-0.1445,142.76807980049875,0.41
Radnor Walk,345000,House,1820,5,5,5,London,SW3 4BN,Chelsea,South Kensington,51.4916,-0.1641,51.494,-0.173044,189.56043956043956,0.42
King Henrys Road,99500,Flat / Apartment,710,2,2,2,London,NW3 3QR,Hampstead,Hampstead,51.5425,-0.15849,51.5565,-0.178301,140.14084507042253,1.29
ICON7,45000,New development,538,1,1,1,London,N7 0JN,Holloway,Caledonian Road & Barnsbury,51.5525,-0.12492,51.5435,-0.114886,83.64312267657992,0.76
Montgomery Road,85000,Flat / Apartment,935,2,2,2,London,W4 5LZ,Chiswick,Chiswick Park,51.4937,-0.2963,51.4946,-0.267874,90.9090909090909,1.22
Carlton Mansions,97500,Flat / Apartment,950,2,2,2,London,W9 1NP,Maida Vale,Maida Vale,51.527,-0.1933,51.5276,-0.190592,102.63157894736842,0.12
Palace Gardens Terrace,185000,Flat / Apartment,924,3,3,3,London,W8 4SA,Kensington,High Street Kensington,51.5017,-0.1957,51.5003,-0.19211,200.21645021645023,0.18
Acer Road,94000,House,1074,3,3,3,London,E8 3GX,Hackney,Hackney Downs,51.5434,-0.07053,51.5486,-0.060686,87.52327746741155,0.55
Grosvenor Avenue,127500,House,1779,4,4,4,London,SW14 8BT,Mortlake,Mortlake,51.4713,-0.260983,51.4699,-0.268523,71.66947723440136,0.34
