@relation 'london_housing_with_stations-weka.filters.unsupervised.attribute.Remove-R1,5-10,12-15-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute price_per_sqft numeric
@attribute distance_miles numeric

@data
House,3027,9.910803,1.11
'Flat / Apartment',960,57.291667,0.38
'Flat / Apartment',659,15.174507,0.31
House,2123,70.654734,3.61
'Flat / Apartment',1021,97.453477,0.55
'Flat / Apartment',565,92.920354,0.41
'Flat / Apartment',1190,201.260504,0.28
'Flat / Apartment',1367,153.621068,0.23
'Flat / Apartment',1044,76.628352,3.68
'Flat / Apartment',1113,79.514825,2.03
House,2881,83.130857,2.04
'Flat / Apartment',1502,111.850866,0.52
House,2178,9.182736,0.42
House,1752,67.06621,0.5
House,2720,86.397059,0.98
'Flat / Apartment',1227,126.324368,1.42
House,2314,108.038029,0.74
'Flat / Apartment',871,79.793341,1.07
'Flat / Apartment',1402,128.031384,0.35
House,2665,95.684803,3.57
'Flat / Apartment',711,79.465541,0.56
'Flat / Apartment',1950,128.205128,0.58
'Flat / Apartment',920,96.195652,3.61
'New development',362,1104.834254,2.11
'Flat / Apartment',1013,88.351431,0.5
'Flat / Apartment',654,84.097859,3.82
House,2270,63.876652,0.08
'New development',861,134.727062,0.83
'Flat / Apartment',1227,203.748981,0.4
'Flat / Apartment',699,225.321888,0.39
House,3613,69.194575,0.48
'Flat / Apartment',682,168.621701,0.74
House,1727,83.960625,0.24
House,1304,203.220859,0.77
House,1601,73.39163,0.71
'Flat / Apartment',630,57.142857,0.15
'Flat / Apartment',920,72.826087,2.05
House,1828,68.380744,0.23
'Flat / Apartment',422,82.938389,0.77
House,1978,214.863498,0.46
'Flat / Apartment',1262,97.068146,0.39
House,1447,79.474775,0.46
House,2422,92.898431,0.52
'Flat / Apartment',376,107.712766,0.1
House,2160,78.472222,1.24
'Flat / Apartment',770,110.38961,0.52
'Flat / Apartment',924,140.151515,0.83
'Flat / Apartment',1765,155.807365,0.47
'Flat / Apartment',1539,178.687459,1.21
'Flat / Apartment',638,235.109718,0.39
'Flat / Apartment',1461,75.290897,0.58
House,2890,164.359862,0.91
House,3053,81.886669,1.38
'Flat / Apartment',1281,97.580016,1.17
'New development',1887,87.440382,0.4
House,1481,236.326806,0.49
House,2631,161.535538,0.83
'Flat / Apartment',718,153.203343,0.7
House,2885,107.45234,1.12
'Flat / Apartment',990,70.707071,3.32
'Flat / Apartment',1078,148.423006,0.33
House,899,69.521691,2.03
House,1975,95.949367,1.01
'Flat / Apartment',454,106.828194,0.26
House,2887,74.47177,0.5
House,1358,88.365243,1.54
'Flat / Apartment',895,63.128492,2.34
'Flat / Apartment',736,81.521739,0.81
'New development',1978,93.528817,0.4
House,1766,72.197055,3.5
House,1913,109.775222,0.15
'Flat / Apartment',2377,145.140934,1.37
'New development',546,192.307692,1.21
'Flat / Apartment',1115,89.237668,0.88
'Flat / Apartment',1346,85.438336,0.61
Penthouse,1715,128.279883,0.4
Penthouse,1490,120.805369,0.4
'Flat / Apartment',681,99.853157,0.2
'New development',1033,89.545015,0.38
'Flat / Apartment',1441,124.913255,1.95
'Flat / Apartment',923,10.834236,0.43
'Flat / Apartment',744,112.231183,0.62
House,2599,73.10504,0.98
'Flat / Apartment',2114,89.87701,0.3
'Flat / Apartment',615,87.804878,2.03
'Flat / Apartment',767,59.973924,2.72
'Flat / Apartment',626,116.613419,0.53
'Flat / Apartment',1618,92.398022,0.38
'Flat / Apartment',839,142.431466,0.44
'Flat / Apartment',828,93.599034,0.47
House,2634,121.488231,1.09
'Flat / Apartment',462,108.225108,0.23
'New development',1083,200.369344,0.77
'Flat / Apartment',924,150.974026,0.3
House,2062,111.542192,0.74
House,902,99.778271,0.65
'Flat / Apartment',750,180,0.31
Penthouse,4004,12.487512,0.51
House,2713,84.777,0.13
House,968,98.140496,0.24
Penthouse,1895,122.691293,0.55
'Flat / Apartment',1039,115.014437,0.19
House,1874,120.064034,0.25
'Flat / Apartment',674,88.278932,0.48
'Flat / Apartment',801,87.390762,3.28
'Flat / Apartment',736,91.711957,0.47
'Flat / Apartment',907,88.202867,0.48
'Flat / Apartment',1156,95.155709,0.64
'Flat / Apartment',685,145.255474,0.15
'Flat / Apartment',2423,144.44903,0.32
House,4188,94.317096,0.87
House,4039,22.282743,0.56
'Flat / Apartment',945,52.910053,0.2
'Flat / Apartment',870,109.195402,0.25
'New development',1310,83.969466,0.16
Penthouse,496,94.758065,0.24
'Flat / Apartment',969,128.998968,0.69
House,1017,83.579154,0.66
'Flat / Apartment',1167,113.538989,0.68
House,2441,139.287177,0.54
'Flat / Apartment',1189,138.772077,0.83
'Flat / Apartment',2080,132.211538,1.05
'Flat / Apartment',1119,196.604111,0.36
House,4095,94.627595,0.16
Penthouse,2494,174.418605,0.4
'Flat / Apartment',542,87.638376,0.22
'Flat / Apartment',738,60.97561,1.31
'Flat / Apartment',1067,135.895033,2.01
'Flat / Apartment',1539,146.19883,1.53
House,3001,116.627791,0.82
'Flat / Apartment',1551,55.770471,0.71
'Flat / Apartment',795,74.842767,0.85
House,2454,107.98696,0.59
House,1454,75.65337,0.83
'Flat / Apartment',1024,116.699219,0.42
'Flat / Apartment',1194,81.658291,0.47
'Flat / Apartment',521,139.15547,1.34
'New development',1184,232.263514,0.12
'New development',1203,114.297589,0.3
Penthouse,1268,145.899054,0.3
'New development',934,195.396146,0.39
'Flat / Apartment',2403,55.139409,2.03
'Flat / Apartment',596,125.838926,0.38
'New development',531,108.286252,0.3
'Flat / Apartment',983,144.964395,0.69
'Flat / Apartment',672,81.845238,0.38
'Flat / Apartment',1337,164.547494,0.36
House,1450,13.793103,0.5
House,3247,107.791808,0.88
'Flat / Apartment',1234,61.993517,0.57
'Flat / Apartment',782,111.892583,0.9
'New development',1452,90.909091,0.4
'Flat / Apartment',558,98.566308,0.67
'Flat / Apartment',1535,104.234528,0.35
'Flat / Apartment',800,111.25,0.14
'New development',978,88.139059,0.06
'New development',636,121.855346,1.4
'New development',1500,106.666667,0.97
'Flat / Apartment',1376,141.715116,0.27
'Flat / Apartment',484,140.495868,0.46
'Flat / Apartment',1386,129.87013,0.93
'Flat / Apartment',1452,102.61708,0.9
'Flat / Apartment',1088,137.867647,1.13
'Flat / Apartment',1056,104.166667,0.54
'Flat / Apartment',959,107.403545,0.33
'Flat / Apartment',1007,134.061569,0.82
'Flat / Apartment',693,126.984127,0.5
'Flat / Apartment',1278,68.466354,0.47
'Flat / Apartment',835,95.688623,0.77
'New development',2453,87.647778,0.31
'New development',2421,8.261049,0.31
House,2701,3.702332,0.77
'Flat / Apartment',995,386.934673,0.38
'Flat / Apartment',1025,68.292683,1.49
House,2282,8.764242,0.75
'Flat / Apartment',2476,131.260097,0.33
'Flat / Apartment',724,148.480663,0.28
'Flat / Apartment',2163,131.761442,0.08
'Flat / Apartment',1139,144.863916,0.64
'Flat / Apartment',788,215.736041,0.14
House,1552,86.984536,0.86
House,2277,105.182257,0.79
'Flat / Apartment',648,138.117284,0.12
House,2390,152.719665,0.58
House,3502,79.954312,1.52
House,4831,72.428069,2.03
House,3134,74.984046,2.12
'Flat / Apartment',911,104.28101,0.36
House,3394,11.785504,1.09
'Flat / Apartment',1030,50.970874,1.31
'Flat / Apartment',924,62.229437,2.4
House,1965,76.081425,0.54
'Flat / Apartment',546,91.575092,0.37
House,2607,11.50748,0.71
'New development',666,138.888889,0.53
House,1929,168.481078,1.48
'Flat / Apartment',1574,76.238882,0.43
House,1252,99.840256,1.26
'Flat / Apartment',1773,245.34687,0.51
'Flat / Apartment',440,102.272727,0.45
'Flat / Apartment',1055,279.620853,0.18
House,571,70.052539,0.64
'Flat / Apartment',569,210.896309,0.37
'Flat / Apartment',519,183.044316,0.27
'Flat / Apartment',1210,107.438017,0.54
'Flat / Apartment',1066,75.046904,0.24
House,3343,139.09662,0.16
'New development',551,126.134301,0.67
'Flat / Apartment',2247,88.963062,0.96
'Flat / Apartment',1073,92.730662,1.1
'Flat / Apartment',1147,104.62075,0.63
'Flat / Apartment',1581,189.69007,0.32
House,2486,120.474658,0.62
'Flat / Apartment',420,125,0.3
'Flat / Apartment',799,75.093867,0.41
'Flat / Apartment',1156,8.650519,0.24
House,2029,194.677181,0.61
'Flat / Apartment',563,86.145648,0.26
'Flat / Apartment',1372,94.387755,0.26
'Flat / Apartment',691,79.59479,0.38
Penthouse,1535,114.006515,0.19
'Flat / Apartment',1698,97.173145,0.47
'Flat / Apartment',1796,94.654788,1.17
'Flat / Apartment',655,104.580153,0.12
'Flat / Apartment',993,80.563948,3.67
House,3468,76.412918,0.44
'New development',2720,128.676471,1.19
'Flat / Apartment',469,68.230277,0.64
'New development',1087,248.390064,0.12
'Flat / Apartment',1450,213.448276,0.25
Penthouse,1589,235.997483,0.67
'Flat / Apartment',572,139.86014,0.13
House,2940,144.557823,0.23
'Flat / Apartment',736,95.108696,0.87
House,4206,112.933904,0.33
Penthouse,2433,154.130703,0.06
'Flat / Apartment',1024,107.421875,0.33
House,3646,73.916621,2.05
'New development',942,196.390658,0.83
'Flat / Apartment',538,60.408922,0.97
House,3574,76.9446,0.13
Penthouse,1662,210.589651,0.39
House,5675,71.806167,2.05
House,2597,96.264921,0.15
'New development',600,138.333333,0.77
'New development',911,156.421515,0.77
'New development',522,172.413793,0.13
'Flat / Apartment',1186,77.150084,0.83
House,6796,27.957622,0.68
'Flat / Apartment',844,62.203791,0.49
'Flat / Apartment',781,140.84507,0.65
'New development',1835,162.6703,0.74
'Flat / Apartment',1007,71.996028,0.48
'Flat / Apartment',834,155.8753,0.59
'New development',1016,152.559055,0.82
'Flat / Apartment',1218,116.995074,0.49
'Flat / Apartment',524,152.671756,0.19
'Flat / Apartment',1241,76.551168,0.53
'New development',2303,138.949197,0.44
House,1690,76.923077,3.53
'Flat / Apartment',1771,95.990966,0.47
House,1814,77.177508,0.33
'New development',922,129.609544,0.35
'New development',1176,95.663265,0.3
'Flat / Apartment',1055,218.009479,0.67
'New development',1077,181.058496,0.77
'Flat / Apartment',1954,176.560901,0.87
House,3917,101.99132,3.71
'Flat / Apartment',1115,134.080717,1.7
House,1683,80.213904,1.18
'New development',1065,91.549296,1.71
Penthouse,1851,21.609941,0.22
'Flat / Apartment',1465,98.976109,0.52
House,3808,98.476891,1.54
'Flat / Apartment',1244,156.752412,0.38
Penthouse,1884,156.581741,1.7
'Flat / Apartment',619,84.814216,0.94
'New development',474,91.772152,1.19
'Flat / Apartment',1070,168.224299,0.58
'Flat / Apartment',985,10.152284,0.34
'Flat / Apartment',818,180.317848,0.49
'Flat / Apartment',538,204.460967,0.63
'New development',1007,143.992056,0.32
'Flat / Apartment',711,196.202532,0.4
'New development',1010,103.960396,0.32
'New development',758,138.522427,0.34
'New development',1924,205.301455,0.22
'Flat / Apartment',1122,68.181818,0.57
'Flat / Apartment',1008,84.325397,2.15
House,7798,43.600923,0.87
'Flat / Apartment',1388,129.682997,0.24
'Flat / Apartment',632,76.740506,0.37
'Flat / Apartment',1292,174.148607,0.77
House,910,92.307692,0.11
'New development',579,129.533679,0.82
'Flat / Apartment',1358,75.478645,1.17
'Flat / Apartment',2136,128.745318,1.05
'Flat / Apartment',1494,100.401606,0.69
House,954,10.48218,2.04
'Flat / Apartment',1878,103.833866,2.08
'Flat / Apartment',1023,90.420332,0.84
'Flat / Apartment',675,66.666667,0.43
'Flat / Apartment',950,81.578947,0.51
'Flat / Apartment',1738,143.843498,0.74
'Flat / Apartment',1058,120.510397,0.24
'Flat / Apartment',681,117.474302,0.43
'New development',1453,120.440468,0.43
'New development',1140,105.263158,0.48
'New development',591,133.671743,0.82
'Flat / Apartment',1971,138.254693,0.87
'Flat / Apartment',860,84.302326,0.35
'Flat / Apartment',593,101.180438,0.38
'Flat / Apartment',1680,148.809524,0.76
House,3174,110.270951,1.33
House,3600,79.166667,0.52
'Flat / Apartment',816,153.186275,0.56
'Flat / Apartment',517,676.88588,0.48
'Flat / Apartment',1515,148.514851,1.02
'New development',823,82.017011,0.06
'Flat / Apartment',1367,95.098756,0.41
'Flat / Apartment',1154,116.984402,0.78
'New development',1528,104.712042,0.43
'Flat / Apartment',880,159.090909,0.18
'Flat / Apartment',3486,45.897877,0.36
'Flat / Apartment',1032,111.434109,0.16
'New development',960,128.125,0.35
'New development',872,114.105505,0.43
Penthouse,2262,108.311229,0.44
'Flat / Apartment',940,148.404255,0.12
'Flat / Apartment',1397,58.339298,0.46
House,1050,83.333333,0.6
'New development',1280,83.984375,0.42
'New development',577,91.854419,0.06
'New development',820,86.585366,0.37
'Flat / Apartment',732,163.934426,0.38
'Flat / Apartment',668,116.017964,0.32
Penthouse,1700,214.705882,0.77
'New development',1293,224.284609,0.77
House,12435,20.104544,0.3
'New development',1236,331.71521,0.36
Penthouse,3368,29.691211,0.67
House,1705,134.897361,0.78
'New development',619,129.240711,0.87
House,3932,22.889115,0.3
'New development',1352,133.136095,0.23
'Flat / Apartment',1056,131.155303,1.48
House,1702,146.886016,0.58
'New development',8356,29.918621,0.75
'Flat / Apartment',1349,85.248332,1.15
'New development',1766,145.243488,1.4
'New development',869,120.13809,1.4
'New development',603,128.026534,1.4
'New development',1026,142.88499,1.4
'New development',772,145.466321,1.4
'New development',636,122.327044,1.4
'New development',837,149.342891,0.75
'Flat / Apartment',915,125.68306,0.75
Penthouse,5417,38.766845,0.44
'Flat / Apartment',2480,100.806452,0.48
House,2200,90.681818,0.68
'Flat / Apartment',1327,71.590053,0.38
'Flat / Apartment',2207,106.479384,0.74
House,3047,81.88382,0.6
House,1692,70.921986,3.77
House,3660,117.486339,0.13
'Flat / Apartment',1080,171.296296,0.96
'Flat / Apartment',1553,112.685126,1.05
Penthouse,1984,176.41129,0.23
