@relation 'london_housing_with_stations-weka.filters.unsupervised.attribute.Remove-R1,5-10,12-15-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute price_per_sqft numeric
@attribute distance_miles numeric

@data
'Flat / Apartment',1997,10.015023,0.11
House,2055,77.128954,0.15
House,4774,89.023879,1.22
House,2815,140.319716,0.48
'Flat / Apartment',1295,76.061776,3.32
'Flat / Apartment',1275,117.647059,0.41
'Flat / Apartment',543,85.635359,0.38
House,1357,70.007369,0.75
'Flat / Apartment',1134,63.932981,3.73
'Flat / Apartment',473,98.308668,0.4
'Flat / Apartment',451,110.864745,0.19
'Flat / Apartment',820,94.512195,3.34
House,2052,75.536062,0.55
House,3247,56.97567,5.47
'Flat / Apartment',458,545.849345,0.12
House,3448,95.707657,0.25
'Flat / Apartment',1402,114.122682,0.18
Penthouse,890,201.123596,0.43
'Flat / Apartment',987,227.963526,0.38
'Flat / Apartment',1027,258.033106,0.38
'New development',820,120.731707,1.05
'New development',1259,131.056394,0.12
'New development',618,123.786408,0.73
'Flat / Apartment',1095,100.456621,0.75
'Flat / Apartment',540,879.537037,0.77
Penthouse,1879,130.388505,0.59
'Flat / Apartment',668,97.305389,0.73
'Flat / Apartment',539,834.786642,0.53
'Flat / Apartment',734,53.814714,0.4
Penthouse,1539,6.497726,0.11
'Flat / Apartment',1517,54.383652,0.56
House,2340,68.376068,5.57
'Flat / Apartment',1085,115.207373,0.32
House,1112,98.920863,0.21
House,1517,79.103494,0.45
House,5108,7.830854,1.4
House,1952,64.036885,0.83
'Flat / Apartment',477,90.146751,0.82
'Flat / Apartment',556,114.208633,0.61
'New development',960,10.416667,0.87
'Flat / Apartment',783,53.639847,0.67
'Flat / Apartment',552,105.978261,1.04
House,1148,69.686411,0.51
House,2131,68.043172,3.75
House,2518,7.942812,3.7
'Flat / Apartment',814,122.235872,0.48
'Flat / Apartment',917,354.416576,0.2
'Flat / Apartment',570,153.508772,0.16
'Flat / Apartment',633,118.483412,0.12
'Flat / Apartment',1925,194.805195,0.25
'New development',739,76.454668,0.86
House,1341,107.009694,0.23
'New development',1321,98.031794,0.43
'Flat / Apartment',822,59.002433,1.41
House,2281,103.024989,0.53
House,1805,74.792244,0.35
'New development',691,78.871201,0.06
'New development',691,92.619392,0.06
'New development',577,94.454073,0.06
Penthouse,2120,87.264151,2.07
'New development',1399,104.360257,2.07
House,2266,97.087379,0.69
House,1782,74.354658,0.7
'Flat / Apartment',1862,190.655209,1.09
House,1271,94.020456,0.8
House,2620,76.145038,0.46
House,1712,92.581776,0.28
House,3924,68.679918,0.06
House,3067,97.489403,0.23
House,2422,77.415359,5.44
'Flat / Apartment',623,104.333868,0.4
'Flat / Apartment',513,108.966862,0.09
'Flat / Apartment',1441,239.417071,1.32
'Flat / Apartment',1520,13.157895,0.32
'Flat / Apartment',592,71.790541,2.03
'Flat / Apartment',1040,67.307692,3.82
'Flat / Apartment',1163,189.16595,0.85
House,1224,142.973856,0.95
'Flat / Apartment',765,189.542484,0.26
House,2216,157.942238,0.82
'Flat / Apartment',1032,89.631783,0.17
'Flat / Apartment',1623,113.986445,1.11
'Flat / Apartment',2039,112.555174,0.62
'Flat / Apartment',730,126.712329,0.42
House,3060,6.535948,0.53
House,1767,76.400679,0.3
'New development',1335,106.217228,0.17
House,1685,77.151335,0.08
House,2425,98.969072,1.7
'Flat / Apartment',853,96.717468,0.38
'Flat / Apartment',634,100.157729,0.57
'Flat / Apartment',944,99.04661,0.78
'New development',784,92.47449,2.1
'Flat / Apartment',628,214.968153,0.31
House,1746,68.728522,5.5
'Flat / Apartment',599,125.208681,0.28
'New development',566,88.339223,0.49
Penthouse,1226,67.292007,0.97
'Flat / Apartment',1386,70.34632,0.06
Studio,425,82.352941,0.4
'Flat / Apartment',703,14.224751,0.42
'Flat / Apartment',1122,133.244207,0.45
House,2667,88.113986,0.29
'Flat / Apartment',924,73.051948,5.53
'Flat / Apartment',1025,74.634146,5.5
Penthouse,3451,85.482469,1.02
House,1710,70.175439,0.35
House,1395,89.605735,0.3
House,1889,79.142403,0.19
House,2150,90.697674,0.65
'New development',590,133.050847,0.83
'Flat / Apartment',1641,137.111517,0.87
House,2565,65.302144,3.92
House,1360,69.852941,0.52
Penthouse,2458,80.349878,0.27
House,1986,178.751259,0.42
'Flat / Apartment',539,64.935065,5.47
'New development',1961,234.574197,0.19
'New development',824,160.800971,0.3
'Flat / Apartment',981,188.583078,0.35
House,1549,6.455778,1.36
'Flat / Apartment',1072,18.656716,0.29
House,1760,68.181818,0.26
House,1668,70.443645,0.19
House,2177,59.715204,0.45
House,4213,83.076193,6.33
'Flat / Apartment',1035,77.294686,0.12
House,1615,74.303406,0.16
House,3230,102.012384,0.86
'Flat / Apartment',548,77.554745,0.16
'New development',1091,111.36572,2.07
House,1341,137.956749,0.66
House,2652,85.784314,0.61
'Flat / Apartment',601,66.55574,0.76
'Flat / Apartment',1143,69.991251,0.81
'Flat / Apartment',940,74.468085,1.33
Duplex,1522,49.277267,3.48
'Flat / Apartment',561,89.12656,0.46
House,1726,230.301275,0.66
House,1554,70.720721,2.03
'Flat / Apartment',901,94.339623,0.91
'Flat / Apartment',987,70.4154,0.73
'Flat / Apartment',922,103.036876,0.18
'Flat / Apartment',520,70.192308,0.6
'Flat / Apartment',1218,98.522167,0.65
'Flat / Apartment',550,69.090909,1.2
House,3435,54.585153,0.12
'Flat / Apartment',771,63.553826,0.76
House,2612,105.283308,1.28
'Flat / Apartment',460,97.826087,0.4
House,1224,67.401961,3.33
House,2205,76.870748,2.09
'Flat / Apartment',548,77.554745,2.07
'Flat / Apartment',896,139.508929,0.53
House,2239,167.485485,1.48
'New development',1263,62.153603,0.94
'Flat / Apartment',891,75.757576,0.62
'Flat / Apartment',518,89.76834,0.52
'Flat / Apartment',1023,131.964809,0.77
House,2458,101.708706,1.2
House,1112,84.982014,0.43
'Flat / Apartment',861,84.204413,0.56
'Flat / Apartment',469,69.296375,0.47
'Flat / Apartment',742,107.816712,0.67
'New development',476,125,0.1
'Flat / Apartment',740,57.432432,0.31
House,1380,90.57971,1.46
House,1959,107.19755,0.63
House,869,100.690449,0.51
House,1238,88.449111,0.46
Penthouse,1680,88.988095,0.85
'Flat / Apartment',1221,73.300573,0.25
'Flat / Apartment',1087,59.797608,3.28
'Flat / Apartment',1548,226.098191,0.42
'Flat / Apartment',1559,304.682489,0.73
'Flat / Apartment',690,79.710145,0.53
'New development',2174,185.602576,0.85
'Flat / Apartment',933,123.258307,0.32
House,1327,177.091183,0.28
Penthouse,1010,77.227723,0.6
House,3260,48.92638,6.34
House,2456,4.071661,5.45
House,953,89.192025,0.36
'Flat / Apartment',967,64.632885,0.83
House,1457,89.224434,0.61
House,2349,125.585355,0.51
House,1184,84.037162,0.8
House,1705,67.44868,3.65
'Flat / Apartment',814,85.995086,3.43
'Flat / Apartment',619,92.891761,3.69
House,1749,95.769011,0.14
'Flat / Apartment',1607,280.024891,0.43
'Flat / Apartment',992,82.66129,1.1
'Flat / Apartment',774,82.041344,2.15
House,3256,61.271499,2.03
House,1868,101.445396,0.4
'Flat / Apartment',1026,80.409357,0.44
'Flat / Apartment',767,114.080834,0.31
House,2108,103.178368,0.65
House,2332,96.483705,0.67
'Flat / Apartment',1100,88.636364,0.96
House,2144,80.923507,0.65
House,1335,102.996255,0.17
House,1811,71.507454,3.3
'Flat / Apartment',693,126.262626,0.13
House,1873,104.111052,0.5
'Flat / Apartment',1366,94.802343,1.22
'Flat / Apartment',1672,128.588517,0.1
'Flat / Apartment',548,145.985401,0.46
'Flat / Apartment',883,198.187995,0.43
'New development',847,139.079103,1.4
'Flat / Apartment',1806,119.047619,0.25
House,2132,88.883677,0.77
'Flat / Apartment',1355,88.560886,0.84
