@relation 'weka_london_housing_with_stations_crimerate-weka.filters.unsupervised.attribute.Remove-R1-2,5-10,12-15'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute nearest_station {Wimbledon,'Old Street','Putney Bridge',Paddington,'Clapham Junction','Imperial Wharf','High Street Kensington',Tooting,Highgate,'St. Johns Wood',Hampstead,Brixton,Angel,'West Hampstead','Earls Court',Balham,'Chiswick Park','West Brompton','Barnes Bridge','Clapham Common',Homerton,Hornsey,Streatham,'Shepherds Bush',Bromley-by-Bow,'Camden Town','Gospel Oak','Oxford Circus','Ealing Broadway',Charlton,'Chancery Lane',Victoria,'South Kensington','Hackney Downs',Hammersmith,'Maida Vale','Golders Green',Temple,Mortlake,Vauxhall,'Wandsworth Town','Ladbroke Grove',Barbican,'London Bridge','Piccadilly Circus','West Kensington',Canonbury,'Bethnal Green','Woolwich Arsenal','Canary Wharf',Kennington,'Caledonian Road & Barnsbury','Aldgate East','West Ealing','Russell Square','Tower Gateway','Raynes Park','Leicester Square','Bond Street',Cricklewood,'Finsbury Park',Greenwich,'Canada Water','Goodge Street','Charing Cross','Acton Central','Green Park','West Dulwich','Mill Hill East',Farringdon,Hanwell,'Royal Victoria','Latimer Road','Liverpool Street',Moorgate,'Hackney Central',Westminster,'Peckham Rye',Chingford,'East Finchley','Dalston Junction',Blackfriars,Blackheath,'Covent Garden',Lewisham,Stratford,'Kew Bridge',Bank}
@attribute price_per_sqft numeric
@attribute distance_miles numeric
@attribute no_of_crimes_per_year numeric

@data
'Flat / Apartment',1362,'Imperial Wharf',56.167401,1.03,22068
House,1420,'Barnes Bridge',77.464789,1.46,13728
House,2153,'Barnes Bridge',109.150023,0.57,13728
House,1222,Tooting,78.968903,5.38,28092
'Flat / Apartment',732,'Ladbroke Grove',239.071038,0.53,23748
'Flat / Apartment',525,'Maida Vale',90.47619,0.06,23748
House,3406,'Clapham Common',87.933059,0.17,34956
House,2500,Mortlake,73,0.38,13728
'Flat / Apartment',609,Vauxhall,90.311987,1.17,23748
House,2516,'Clapham Common',73.529412,0.16,34956
'Flat / Apartment',428,Victoria,146.028037,0.53,76860
'Flat / Apartment',1604,Victoria,142.76808,0.41,76860
House,1820,'South Kensington',189.56044,0.42,23748
'Flat / Apartment',710,Hampstead,140.140845,1.29,31164
'New development',538,'Caledonian Road & Barnsbury',83.643123,0.76,31164
'Flat / Apartment',935,'Chiswick Park',90.909091,1.22,27216
'Flat / Apartment',950,'Maida Vale',102.631579,0.12,23748
'Flat / Apartment',924,'High Street Kensington',200.21645,0.18,23748
House,1074,'Hackney Downs',87.523277,0.55,33036
House,1779,Mortlake,71.669477,0.34,13728
House,1541,Mortlake,85.983128,0.51,13728
'Flat / Apartment',880,'Clapham Junction',98.295455,0.67,28092
'Flat / Apartment',859,'Clapham Junction',75.669383,0.33,28092
'New development',1577,'High Street Kensington',221.940393,0.12,23748
House,1944,Canonbury,87.191358,0.88,31164
'Flat / Apartment',472,'Canary Wharf',847.447034,0.7,32976
House,2865,Victoria,162.303665,0.35,23748
House,1448,'South Kensington',193.370166,0.55,23748
'Flat / Apartment',1056,Angel,104.166667,1.1,31164
'Flat / Apartment',1811,Hammersmith,146.327996,0.57,22068
House,2550,Brixton,61.764706,0.28,34956
'Flat / Apartment',775,'Clapham Junction',67.741935,0.88,28092
'Flat / Apartment',1099,Victoria,150.136488,0.56,76860
'Flat / Apartment',726,'Camden Town',117.07989,1.11,38568
House,1791,Paddington,150.753769,1.31,23748
House,795,Wimbledon,87.421384,0.79,28092
House,1293,'St. Johns Wood',158.546017,0.21,76860
'Flat / Apartment',972,'Aldgate East',63.271605,0.52,32976
'Flat / Apartment',1777,'Putney Bridge',5.627462,2.03,28092
'Flat / Apartment',526,'Clapham Common',59.885932,0.17,34956
'New development',1328,Victoria,139.307229,0.32,23748
House,1289,Victoria,224.592708,0.4,23748
'Flat / Apartment',459,Angel,98.039216,0.67,31164
'Flat / Apartment',949,Tooting,71.127503,5.54,28092
House,1068,'Chiswick Park',130.617978,0.52,27216
'Flat / Apartment',858,'Barnes Bridge',84.498834,1.11,13728
House,2525,'Barnes Bridge',7.920792,1.58,13728
'Flat / Apartment',664,'Imperial Wharf',94.126506,0.21,22068
House,1328,Hammersmith,101.656627,0.83,22068
House,2191,'Clapham Junction',95.846645,0.64,28092
House,1892,Mortlake,97.780127,0.42,13728
'Flat / Apartment',1132,'Clapham Junction',132.508834,1.13,28092
House,2190,'Camden Town',165.525114,0.76,38568
'Flat / Apartment',1274,'London Bridge',117.739403,0.84,35496
'Flat / Apartment',630,'Barnes Bridge',83.333333,1.32,13728
'Flat / Apartment',455,Homerton,63.736264,0.16,33036
House,2931,'Putney Bridge',58.853634,2.03,28092
House,1510,Angel,92.384106,0.69,31164
House,1504,Victoria,222.739362,0.76,23748
House,2067,'Putney Bridge',86.840832,2.03,28092
House,1997,'West Ealing',75.112669,0.31,32364
House,2149,'Wandsworth Town',74.453234,3.61,28092
House,3620,Streatham,42.81768,6.34,34956
'Flat / Apartment',1195,Victoria,110.878661,0.8,76860
House,1587,'Camden Town',87.901701,0.41,38568
'Flat / Apartment',849,'Russell Square',86.572438,0.23,38568
'Flat / Apartment',2550,'Tower Gateway',58.823529,0.45,32976
'Flat / Apartment',832,'Canary Wharf',81.610577,0.33,32976
'Flat / Apartment',1244,'West Brompton',120.578778,0.64,23748
House,1604,'Putney Bridge',84.164589,2.04,28092
'New development',723,Angel,86.445367,0.69,31164
'Flat / Apartment',660,Angel,90.909091,1.18,31164
'Flat / Apartment',627,'Tower Gateway',139.553429,0.62,32976
'Flat / Apartment',872,'Canary Wharf',64.793578,0.4,32976
'Flat / Apartment',1201,'Imperial Wharf',104.079933,0.96,22068
'Flat / Apartment',1453,'Clapham Junction',123.881624,0.93,28092
'New development',1781,Hornsey,83.941606,0.44,29436
House,3800,Vauxhall,81.578947,0.59,23748
'Flat / Apartment',1831,Wimbledon,57.345713,0.69,28092
House,2503,Wimbledon,73.911306,0.62,28092
'Flat / Apartment',1061,'Caledonian Road & Barnsbury',68.803016,0.75,31164
'Flat / Apartment',736,Tooting,88.315217,5.43,28092
House,2438,'Barnes Bridge',86.136177,0.5,13728
House,2600,'Barnes Bridge',86.538462,0.95,13728
House,1867,'Clapham Junction',90.787359,0.59,28092
House,1884,'Raynes Park',72.983015,0.77,28092
House,2138,'Wandsworth Town',65.481759,3.54,28092
'Flat / Apartment',927,'Putney Bridge',68.500539,2.04,28092
Penthouse,1845,'Leicester Square',162.330623,0.17,38568
'Flat / Apartment',526,Homerton,855.418251,0.17,33036
'Flat / Apartment',474,'St. Johns Wood',89.662447,0.4,76860
House,1902,'Putney Bridge',94.374343,2.04,28092
'Flat / Apartment',801,'Camden Town',199.750312,0.62,38568
'Flat / Apartment',1002,'Ladbroke Grove',174.650699,0.58,23748
House,2275,'Clapham Junction',90.10989,0.76,28092
'Flat / Apartment',1371,'Clapham Junction',83.880379,0.45,28092
House,2446,'South Kensington',40.678659,0.25,23748
House,1703,Angel,111.567821,0.9,31164
'Flat / Apartment',792,Angel,85.227273,0.48,31164
'New development',1273,'Bethnal Green',117.831893,0.27,32976
'New development',786,'Caledonian Road & Barnsbury',78.880407,0.76,31164
'Flat / Apartment',747,Angel,87.014726,0.97,31164
'Flat / Apartment',663,'Tower Gateway',75.414781,0.67,32976
House,2006,Brixton,69.541376,0.45,34956
House,3597,Hammersmith,82.012788,0.58,22068
'New development',841,'Putney Bridge',90.963139,2.07,28092
House,1854,'Barnes Bridge',86.299892,0.48,13728
House,1126,'Clapham Junction',86.589698,0.49,28092
'Flat / Apartment',1294,'Clapham Junction',73.415765,0.69,28092
House,1582,Paddington,135.903919,0.18,76860
Penthouse,1840,'Piccadilly Circus',160.326087,0.21,76860
House,1115,'Imperial Wharf',134.529148,0.57,22068
'Flat / Apartment',882,'Tower Gateway',73.696145,0.43,32976
House,1700,Streatham,55.882353,6.36,34956
'Flat / Apartment',663,Balham,94.268477,0.22,28092
House,1983,'Barnes Bridge',79.425113,1.48,13728
House,1266,'South Kensington',201.421801,0.38,23748
'Flat / Apartment',707,'Clapham Junction',74.257426,0.49,28092
'Flat / Apartment',967,Homerton,80.144778,0.16,33036
House,2210,'Putney Bridge',147.058824,2.13,28092
House,2153,'Clapham Junction',82.443103,0.99,28092
House,2543,Hampstead,127.801809,0.91,31164
'Flat / Apartment',797,'Clapham Junction',87.82936,1.08,28092
'Flat / Apartment',760,'Ealing Broadway',78.289474,1,32364
'Flat / Apartment',540,'Putney Bridge',97.222222,2.04,28092
House,3007,'Raynes Park',81.476555,0.44,28092
House,538,Wimbledon,102.230483,0.16,28092
House,6186,Wimbledon,63.853864,0.35,28092
'Flat / Apartment',1024,'Wandsworth Town',58.59375,3.73,28092
House,1984,'Wandsworth Town',73.084677,3.31,28092
'Flat / Apartment',745,Bromley-by-Bow,24.161074,0.61,32976
Studio,328,'Putney Bridge',64.02439,2.03,28092
House,8315,'Bond Street',21.647625,0.41,76860
House,2857,Angel,99.754988,0.71,31164
'Flat / Apartment',1074,Angel,107.07635,0.59,31164
'New development',596,'Bethnal Green',115.771812,0.27,32976
'Flat / Apartment',999,Cricklewood,99.5996,0.82,31452
Penthouse,962,'Putney Bridge',10.39501,2.05,28092
House,2358,Mortlake,80.57676,0.25,13728
House,1813,Mortlake,71.428571,0.36,13728
'Flat / Apartment',1169,'Tower Gateway',109.495295,0.27,32976
House,2028,'Chiswick Park',70.266272,0.41,27216
House,1720,'Barnes Bridge',104.360465,0.78,13728
House,1423,'Clapham Junction',79.058327,0.31,28092
'Flat / Apartment',1001,'Clapham Junction',94.405594,0.99,28092
House,2809,'Clapham Junction',112.139551,0.64,28092
House,1420,'Chiswick Park',89.788732,0.4,27216
House,2428,'West Brompton',154.448105,0.71,23748
'Flat / Apartment',431,'St. Johns Wood',106.728538,0.19,76860
House,2096,'Putney Bridge',80.868321,2.1,28092
'Flat / Apartment',769,'Russell Square',117.035111,0.41,38568
'Flat / Apartment',1155,'Barnes Bridge',103.896104,0.93,13728
House,1607,Homerton,68.450529,0.1,33036
'New development',646,'Bethnal Green',100.619195,0.92,32976
House,3716,Mortlake,79.386437,0.23,13728
House,953,'Clapham Junction',62.959077,0.79,28092
House,2313,'Imperial Wharf',105.923044,0.79,22068
'Flat / Apartment',939,'Wandsworth Town',82.534611,3.6,28092
'Flat / Apartment',652,'St. Johns Wood',95.858896,0.13,76860
Studio,344,'Camden Town',85.755814,0.74,38568
House,1519,'St. Johns Wood',154.707044,0.23,76860
House,1299,Victoria,173.210162,0.67,23748
'Flat / Apartment',451,'Camden Town',110.643016,0.42,38568
'Flat / Apartment',1339,'Clapham Junction',63.480209,0.49,28092
House,1340,Victoria,186.567164,0.53,23748
Penthouse,1765,Paddington,127.478754,0.96,76860
'Flat / Apartment',1752,'High Street Kensington',142.694064,0.4,23748
'New development',560,'Finsbury Park',84.821429,0.06,33036
'New development',657,'Caledonian Road & Barnsbury',85.235921,0.76,31164
'New development',758,'Caledonian Road & Barnsbury',80.474934,0.76,31164
'New development',758,'Caledonian Road & Barnsbury',79.155673,0.76,31164
'Flat / Apartment',658,Hammersmith,91.18541,0.51,22068
'Flat / Apartment',848,'Clapham Junction',76.650943,0.61,28092
House,1824,'Gospel Oak',98.410088,0.5,31164
'Flat / Apartment',843,'Imperial Wharf',97.864769,0.81,22068
House,3180,Brixton,73.899371,0.36,34956
'Flat / Apartment',2577,Angel,91.191308,0.63,31164
'Flat / Apartment',1498,'South Kensington',166.889186,0.39,23748
'Flat / Apartment',946,Tooting,71.353066,5.53,28092
'Flat / Apartment',932,Hampstead,128.755365,0.87,31164
'Flat / Apartment',663,'Imperial Wharf',94.268477,0.06,22068
'Flat / Apartment',600,'Wandsworth Town',75,0.94,28092
House,3070,'Imperial Wharf',112.37785,1.07,22068
'Flat / Apartment',908,Victoria,109.581498,0.55,23748
'Flat / Apartment',1536,Wimbledon,51.757813,0.68,28092
House,2336,Wimbledon,75.984589,0.68,28092
Studio,277,'Clapham Common',106.498195,0.18,34956
'Flat / Apartment',1779,'Maida Vale',146.149522,0.07,23748
House,1917,Victoria,206.051122,1.59,23748
House,1666,'Caledonian Road & Barnsbury',90.036014,0.42,31164
